question,document_id,answer_1,answer_2,answer_3
is pipa from home and away in neighbours,Pippa Ross,"Pippa is the daughter of Bert ( Kevin Healy ; Peter Collingwood ) and Coral King ( Jessica Noad ) . Pippa married her brother Danny 's ( John Clayton ) army mate Tom Fletcher in 1969 and they foster Frank Morgan ( Alex Papps ) in 1978 after his parents Les ( Mario Kery ) and Helena ( Lee Sanderson ) are incapable of looking after him . As time passes they take in more children from various homes and institutions ; Carly Morris ( Sharyn Hodgson ) , Lynn Davenport ( Helena Bozich ) , Sally Keating ( Kate Ritchie ) and Steven Matheson ( Adam Willits ) . Tom is retrenched in early 1988 and the family leave the city and relocate to Summer Bay and buy the local Caravan Park from Alf Stewart ( Ray Meagher ) . Local troublemaker Bobby Simpson ( Nicolle Dickson ) causes problems for the family by picking fights with Carly . After Bobby is cleared of several crimes , The Fletchers agree to foster her , much to ire of their neighbour , Donald Fisher ( Norman Coburn ) . Pippa takes a part - time j",,
why was the civil rights act of 1866 made into an amendment to the constitution,Civil Rights Act of 1866,"Senator Lyman Trumbull was the Senate sponsor of the Civil Rights Act of 1866 , and he argued that Congress had power to enact it in order to eliminate a discriminatory `` badge of servitude '' prohibited by the Thirteenth Amendment . Representative John Bingham , principal author of the first section of the Fourteenth Amendment , was one of several Republicans who believed ( prior to that Amendment ) that Congress lacked power to pass the 1866 Act . In the 20th century , the U.S. Supreme Court ultimately adopted Trumbull 's Thirteenth Amendment rationale for congressional power to ban racial discrimination by states and by private parties , in view of the fact that the Thirteenth Amendment does not require a state actor .",,
joy beautiful spark of the gods daughter of elysium,Ode to Joy,"Joy , beautiful spark of Divinity , Daughter from Elysium , We enter , drunk with fire , Heavenly One , thy sanctuary ! Your magic binds again What convention strictly divides ;* All people become brothers , * Where your gentle wing abides",,
when does project runway show at fashion week,Project Runway,His appearance at Fashion Week was an 11th hour decision made by the show 's producers who were concerned that the identity of the three finalists would be revealed before the Project Runway Season 1 finale aired,,
what is the original route of the orient express,Orient Express,"The route and rolling stock of the Orient Express changed many times . Several routes in the past concurrently used the Orient Express name , or slight variations . Although the original Orient Express was simply a normal international railway service , the name became synonymous with intrigue and luxury travel . The two city names most prominently associated with the Orient Express are Paris and Constantinople ( Istanbul ) , the original endpoints of the timetabled service . The Orient Express was a showcase of luxury and comfort at a time when travelling was still rough and dangerous .",,
who does rip van winkle ask for when he returns to the village,Rip Van Winkle,"In the tenth chapter of his book Lives and Opinions of Eminent Philosophers , the third - century AD Greek historian Diogenes Laertius relates the story of the legendary sage Epimenides of Knossos , who was said to have been a shepherd on the island of Krete . One day , Epimenides followed after a sheep that had wandered off and , after becoming tired , went into a cave under Mount Ida and fell asleep . When he awoke , he continued searching for the sheep , but could not find it , so he returned to his father 's farm , only to discover that it was under new ownership . He went home , only to discover that the people there did not know him . Finally , he encountered his younger brother , who had become an old man , and learned that he had been asleep in the cave for fifty - seven years . According to the different sources that Diogenes relates , Epimenides lived to be 154 , 157 , or 299 years old . Multiple sources have identified the story of Epimenides as the earliest known variant of",,
who sang the most wonderful summer of my life,Robin Ward (singer),"Jackie Ward ( born Jacqueline McDonnell , 1941 ) , better known as Robin Ward , is an American singer , regarded as a `` one - hit wonder '' of 1963 million - selling song `` Wonderful Summer '' . However , using her real name she was highly accomplished and successful singing in groups . Ward 's voice is heard in U.S. television series , motion pictures , advertisements , and pop records . She is one of the real singers of the hits attributed to The Partridge Family .",,
who does the voice of shaggy on scooby doo,Casey Kasem,"1980 ; his death 2014 ) Children Kerri , Julie , Mike ( with Myers ) Liberty ( with Thompson ) Signature Kemal Amin `` Casey '' Kasem ( April 27 , 1932 -- June 15 , 2014 ) was an American disc jockey , music historian , radio personality , voice actor , and actor , known for being the host of several music radio countdown programs , most notably American Top 40 , from 1970 until his retirement in 2009 , and for providing the voice of Norville `` Shaggy '' Rogers in the Scooby - Doo franchise from 1969 to 1997 , and again from 2002 until 2009",,
where were deep-sea hydrothermal vents first discovered 25 years ago,Hydrothermal vent,"High temperature hydrothermal vents , the `` black smokers '' , were discovered in spring 1979 by a team from the Scripps Institution of Oceanography using the submersible ALVIN . The RISE expedition explored the East Pacific Rise at 21 ° N with the goals of testing geophysical mapping of the sea floor with the ALVIN and finding another hydrothermal field beyond the Galápagos Rift vents . The expedition was led by Fred Spiess and Ken Macdonald and included participants from the U.S. , Mexico and France . The dive region was selected based on the discovery of sea floor mounds of sulfide minerals by the French CYAMEX expedition in 1978 . Prior to dive operations , expedition member Robert Ballard located near - bottom water temperature anomalies using a deeply towed instrument package . The first dive was targeted at one of those anomalies . On Easter Sunday April 15 , 1979 during a dive of ALVIN to 2600 meters , Roger Larson and Bruce Luyendyk found a hydrothermal vent field with a biol",,
who was the first president to get his picture taken,List of United States Presidential firsts,John Quincy Adams ( 1825 - 1829 ) ( edit ) Philip Haas took this daguerrotype of John Quincy Adams in 1843 - it is the first photograph taken of a President,,
who was the gospel of john written to,Gospel of John,"Historical Reliability ( edit ) Further information : Historicity of the Bible The teachings of Jesus found in the synoptic gospels are very different from those recorded in John , and since the 19th century scholars have almost unanimously accepted that these Johannine discourses are less likely than the synoptic parables to be historical , and were likely written for theological purposes",,
how many oscars did on golden pond win,On Golden Pond (1981 film),"The film received ten nominations at the 54th Academy Awards including Best Picture and won three : Best Actor ( Fonda ) , Best Actress ( Hepburn ) and Best Adapted Screenplay ( Thompson ) . Henry Fonda won his only competitive Oscar with this movie and at the age of 76 , he became the oldest winner in the aforementioned category . Katharine Hepburn won her fourth Best Actress award , extending her own record for the most Oscars won by a thespian . On Golden Pond is also one of the few movies to earn the nominations for five major Academy Awards ( Best Picture , Director , Actor , Actress , and Screenplay ) .",,
when did they figure out that yeast made bread rise,History of bread,"The most common source of leavening in antiquity was to retain a piece of dough ( with sugar and water in ) from the previous day to utilize as a form of sourdough starter . Pliny the Elder reported that the Gauls and Iberians used the foam skimmed from beer to produce `` a lighter kind of bread than other peoples . '' Parts of the ancient world that drank wine instead of beer used a paste composed of grape must and flour that was allowed to begin fermenting , or wheat bran steeped in wine , as a source for yeast .",,
who won season 4 of america's got talent,America's Got Talent (season 4),"The fourth season of America 's Got Talent , an American television reality show talent competition , premiered on the NBC network on June 23 , 2009 . Country singer Kevin Skinner was named the winner on September 16 , 2009 . This season is the first season to be broadcast in high definition .",,
how many episodes on queen of the south season 1,Queen of the South (TV series),"Season Episodes Originally aired First aired Last aired 13 June 23 , 2016 ( 2016 - 06 - 23 ) September 15 , 2016 ( 2016 - 09 - 15 ) 13 June 8 , 2017 ( 2017 - 06 - 08 ) August 31 , 2017 ( 2017 - 08 - 31 )",,
who has climbed the great wall of china,Great Wall of China,"Great Wall of China - wikipedia Great Wall of China Jump to : navigation , search `` Great Wall '' redirects here",,
who led the various reform movements of the 19th century,Conservation movement,"The Izoceño - Guaraní of Santa Cruz Department , Bolivia is a tribe of hunters who were influential in establishing the Capitania del Alto y Bajo Isoso ( CABI ) . CABI promotes economic growth and survival of the Izoceno people while discouraging the rapid destruction of habitat within Bolivia 's Gran Chaco . They are responsible for the creation of the 34,000 square kilometre Kaa - Iya del Gran Chaco National Park and Integrated Management Area ( KINP ) . The KINP protects the most biodiverse portion of the Gran Chaco , an ecoregion shared with Argentina , Paraguay and Brazil . In 1996 , the Wildlife Conservation Society joined forces with CABI to institute wildlife and hunting monitoring programs in 23 Izoceño communities . The partnership combines traditional beliefs and local knowledge with the political and administrative tools needed to effectively manage habitats . The programs rely solely on voluntary participation by local hunters who perform self - monitoring techniques and k",,
who is the existing prime minister of pakistan,List of Prime Ministers of Pakistan,"List of Prime Ministers of Pakistan hide Term Number Portrait Name Took office Left office Tenure Elections Political party ( Alliance ) Note ( s ) Liaquat Ali Khan 14 August 1947 16 October 1951 ( assassinated ) 4 Years , 2 Months , 2 Days , -- Muslim League Following advice given by the founding father of the nation , Governor - General Muhammad Ali Jinnah appointed and invited the Finance Minister Liaquat Ali Khan to set up and run his administration in 1947 . He was assassinated in 1951 , and Khawaja Nazimuddin took the office . Sir Khawaja Nazimuddin 17 October 1951 17 April 1953 1 Year , 6 Months , -- Muslim League Nazimuddin became Prime Minister of Pakistan after the assassination of Liaquat Ali Khan in 1951 . He left the office when Governor - General Malik Ghulam Muhammad dissolved his government in 1953 . Mohammad Ali Bogra 17 April 1953 12 August 1955 2 Years , 3 Months , 26 Days , -- Muslim League A diplomat and relatively unknown personality to Pakistani politics , Bogra ",,
who is known as the father of texas,Stephen F. Austin,"Stephen Fuller Austin ( November 3 , 1793 -- December 27 , 1836 ) was an American empresario . Known as the `` Father of Texas '' , and the founder of Texas , he led the second , and ultimately , the successful colonization of the region by bringing 300 families from the United States to the region in 1825 .",,
properties of red black tree in data structure,Red–black tree,"Each node is either red or black . The root is black . This rule is sometimes omitted . Since the root can always be changed from red to black , but not necessarily vice versa , this rule has little effect on analysis . All leaves ( NIL ) are black . If a node is red , then both its children are black . Every path from a given node to any of its descendant NIL nodes contains the same number of black nodes . Some definitions : the number of black nodes from the root to a node is the node 's black depth ; the uniform number of black nodes in all paths from root to the leaves is called the black - height of the red -- black tree .",,
what is the orange stuff on my sushi,Tobiko,"The eggs are small , ranging from 0.5 to 0.8 mm . For comparison , tobiko is larger than masago ( capelin roe ) , but smaller than ikura ( salmon roe ) . Natural tobiko has a red - orange color , a mild smoky or salty taste , and a crunchy texture .",,
what is a co op building in nyc,Housing cooperative,"Housing cooperative - wikipedia Housing cooperative Jump to : navigation , search Not to be confused with Building cooperative",,
what is the proximal attachment of the gastrocnemius,Gastrocnemius muscle,"Gastrocnemius muscle - wikipedia Gastrocnemius muscle Jump to : navigation , search Gastrocnemius muscle Details Pronunciation / ˌɡæstrɒkˈniːmiəs / or / ˌɡæstrəkˈniːmiəs / Origin superior to articular surfaces of lateral condyle of femur and medial condyle of femur Insertion tendo calcaneus ( achilles tendon ) into mid-posterior calcaneus Artery sural arteries Nerve tibial nerve from the sciatic , specifically , nerve roots S1 -- S2 Actions plantar flexes foot , flexes knee Antagonist Tibialis anterior muscle Identifiers TA A04",,
when did nsw last won a state of origin series,State of Origin series,State of Origin series Year Winner Wins Losses Drawn Shield Holder 1982 Queensland 0 Queensland Queensland 0 Queensland 1984 Queensland 0 Queensland 1985 New South Wales 0 New South Wales 1986 New South Wales 0 0 New South Wales Queensland 0 Queensland 1988 Queensland 0 0 Queensland 1989 Queensland 0 0 Queensland 1990 New South Wales 0 New South Wales 1991 Queensland 0 Queensland 1992 New South Wales 0 New South Wales 1993 New South Wales 0 New South Wales 1994 New South Wales 0 New South Wales 1995 Queensland 0 0 Queensland New South Wales 0 0 New South Wales 1997 New South Wales 0 New South Wales 1998 Queensland 0 Queensland 1999 Draw Queensland 2000 New South Wales 0 0 New South Wales 2001 Queensland 0 Queensland 2002 Draw Queensland 2003 New South Wales 0 New South Wales New South Wales 0 New South Wales 2005 New South Wales 0 New South Wales 2006 Queensland 0 Queensland 2007 Queensland 0 Queensland 2008 Queensland 0 Queensland 2009 Queensland 0 Queensland Queensland 0 0 Queensland,,
when does life is strange before the storm part 2,Life Is Strange: Before the Storm,Life Is Strange : Before the Storm Developer ( s ) Deck Nine Publisher ( s ) Square Enix Director ( s ) Webb Pickersgill Chris Floyd Producer ( s ) David Lawrence Hein Zoe Brown Designer ( s ) William Beacham Programmer ( s ) Mark Lyons Danielle Cheah Artist ( s ) Andrew Weatherl Writer ( s ) Zak Garriss Composer ( s ) Daughter Engine Unity Platform ( s ) Microsoft Windows PlayStation 4 Xbox One Release Episode 1 WW : 31 August 2017 Episode 2 WW : 19 October 2017 Episode 3 WW : 20 December 2017 Genre ( s ) Graphic adventure Mode ( s ) Single - player,,
what is the rocking horse winner by dh lawrence about,The Rocking-Horse Winner,"The Rocking - horse Winner - wikipedia The Rocking - horse Winner Jump to : navigation , search This article is about the short story",,
where is sodom and gomorrah located in the bible,Sodom and Gomorrah,"According to the Torah , the kingdoms of Sodom and Gomorrah were allied with the cities of Admah , Zeboim and Bela . These five cities , also known as the `` cities of the plain '' ( from Genesis in the Authorized Version ) , were situated on the Jordan River plain in the southern region of the land of Canaan . The plain , which corresponds to the area just north of the modern - day Dead Sea , was compared to the garden of Eden as being well - watered and green , suitable for grazing livestock .",,
what is the longest non medical word in the dictionary,Longest word in English,"Word Letters Characteristics Dispute Methionylthreonylthreonylglutaminylalanyl ... isoleucine 189,819 Chemical name of titin , the largest known protein Technical ; not in dictionary ; disputed whether it is a word Methionylglutaminylarginyltyrosylglutamyl ... serine 1,909 Longest published word Technical Lopadotemachoselachogaleokranioleipsano ... pterygon 182 Longest word coined by a major author , the longest word ever to appear in literature Coined ; not in dictionary ; Ancient Greek transliteration Pneumonoultramicroscopicsilicovolcanoconiosis 45 Longest word in a major dictionary Technical ; coined to be the longest word Supercalifragilisticexpialidocious 34 Made popular in the Mary Poppins film and musical Coined Pseudopseudohypoparathyroidism 30 Longest non-coined word in a major dictionary Technical Floccinaucinihilipilification 29 Longest unchallenged nontechnical word Coined Antidisestablishmentarianism 28 Longest non-coined and nontechnical word Honorificabilitudinitatibus ",,
when did the xbox 360 slim come out,Xbox 360,"Two major hardware revisions of the Xbox 360 have succeeded the original models ; the Xbox 360 S ( also referred to as the `` Slim '' ) replaced the original `` Elite '' and `` Arcade '' models in 2010 . The S model carries a smaller , streamlined appearance with an angular case , and utilizes a redesigned motherboard designed to alleviate the hardware and overheating issues experienced by prior models . It also includes a proprietary port for use with the Kinect sensor . The Xbox 360 E , a further streamlined variation of the 360 S with a two - tone rectangular case inspired by Xbox One , was released in 2013 . In addition to its revised aesthetics , the Xbox 360 E also has one fewer USB port , no AV connector ( and thus is HDMI - only ) , and no longer supports S / PDIF .",,
which city has the highest hiv rate in south africa,HIV/AIDS in South Africa,"AIDSPortal South Africa page -- latest research , guidelines and case studies NewsHour : HIV / AIDS and TB in South Africa JournAIDS : A resource on HIV for South African media practitioners HIV and Aids in South Africa -- South Africa Gateway hide South Africa articles History Timeline ( nl ) Years Early history Cape Colony Orange Free State Transvaal First Boer War Second Boer War Great Depression World War II Apartheid Border War Since 1994 By topic Economy Military Geography Districts Earthquakes Estuaries Forests Islands Lakes Mountain ranges Municipalities National parks Populated places Provinces Rivers Wildlife Politics Constitution Courts Elections Foreign relations Government Human rights Law Parliament Political parties President State security and intelligence Minister Co-ordinating committee ( NICC ) Intelligence agency ( NIA ) Communications centre ( NCC ) Communications security ( COMSEC ) Secret Service ( SASS ) Intelligence academy ( SANAI ) Law enforcement Department ",,
when was the fort of bastille razed to ground,Bastille,"369167 Type Medieval fortress , prison Site information Condition Destroyed , limited stonework survives Site history Built 1370 -- 1380s Built by Charles V of France Demolished 1789 -- 90 Events Hundred Years ' War Wars of Religion Fronde French Revolution The Bastille ( / bæˈstiːl / ; French : ( bastij ) ) was a fortress in Paris , known formally as the Bastille Saint - Antoine",,
molecular motion is independent of temperature and is unaffected by a change in temperature,Thermodynamic temperature,"Internal energy at absolute zero ( edit ) As a substance cools , different forms of internal energy and their related effects simultaneously decrease in magnitude : the latent heat of available phase transitions is liberated as a substance changes from a less ordered state to a more ordered state ; the translational motions of atoms and molecules diminish ( their kinetic temperature decreases ) ; the internal motions of molecules diminish ( their internal temperature decreases ) ; conduction electrons ( if the substance is an electrical conductor ) travel somewhat slower ; and black - body radiation 's peak emittance wavelength increases ( the photons ' energy decreases )",,
what college did they film 22 jump street,Kevin Spacey,"He became chairman of Relativity Media 's film division , Relativity Studios , on January 6 , 2016 after Relativity acquired his production company Trigger Street Productions",,
who became the new boss in the office,The Office (U.S. season 8),) episodes Season 1 `` Pilot '' `` Diversity Day '' `` Health Care '' `` The Alliance '' `` Basketball '' `` Hot Girl '' Season 2 `` The Dundies '' `` Sexual Harassment '' `` Office Olympics '' `` The Fire '' `` Halloween '' `` The Fight '' `` The Client '' `` Performance Review '' `` Email Surveillance '' `` Christmas Party '' `` Booze Cruise '' `` The Injury '' `` The Secret '' `` The Carpet '' `` Boys and Girls '' `` Valentine 's Day '' `` Dwight 's Speech '' `` Take Your Daughter to Work Day '' `` Michael 's Birthday '' `` Drug Testing '' `` Conflict Resolution '' `` Casino Night '' Season 3 `` Gay Witch Hunt '' `` The Convention '' `` The Coup '' `` Grief Counseling '' `` Initiation '' `` Diwali '' `` Branch Closing '' `` The Merger '' `` The Convict '' `` A Benihana Christmas '' `` Back from Vacation '' `` Traveling Salesmen '' `` The Return '' `` Ben Franklin '' `` Phyllis ' Wedding '' `` Business School '' `` Cocktails '' `` The Negotiation '' `` Safety Training '' `` Product R,,
all of the following terms refer to different types of texture in music except,Texture (music),"Contents ( hide ) 1 Common types 2 Additional types 3 See also 4 References 5 Further reading 6 External links Common types ( edit ) In musical terms , particularly in the fields of music history and music analysis , some common terms for different types of texture are : Type Description Visual Audio Monophonic Monophonic texture includes a single melodic line with no accompaniment",,
what is the moral of the ant and the grasshopper,The Ant and the Grasshopper,"The story has been used to teach the virtues of hard work and the perils of improvidence . Some versions state a moral at the end along the lines of `` Idleness brings want '' , `` To work today is to eat tomorrow '' , `` Beware of winter before it comes '' . In La Fontaine 's Fables no final judgment is made , although it has been argued that the author is there making sly fun of his own notoriously improvident ways . But the point of view in most retellings of the fable is supportive of the ant . It is also influenced by the commendation in the biblical Book of Proverbs , which mentions the ant twice . The first proverb admonishes , `` Go to the ant , you sluggard ! Consider her ways and be wise , which having no captain , overseer or ruler , provides her supplies in the summer , and gathers her food in the harvest '' ( 6.6 - 9 ) . Later , in a parallel saying of Agur , the insects figure among the ' four things that are little upon the earth but they are exceeding wise . The ants ar",,
what time of year do ravens lay eggs,Common raven,"In most of their range , egg laying begins in late February . In colder climates , it is later , e.g. April in Greenland and Tibet . In Pakistan , egg - laying takes place in December . Eggs and hatchlings are preyed on , rarely , by large hawks and eagles , large owls , martens and canids . The adults , which are very rarely preyed upon , are often successful in defending their young from these predators , due to their numbers , large size and cunning . They have been observed dropping stones on potential predators that venture close to their nests .",,
most commonly used punishment in the united states,Criminal sentencing in the United States,"Criminal sentencing in the United states - wikipedia Criminal sentencing in the United states Jump to : navigation , search This article needs additional citations for verification",,
reasons why a population may not be in hardy-weinberg equilibrium,Hardy–Weinberg principle,"The Hardy -- Weinberg principle , also known as the Hardy -- Weinberg equilibrium , model , theorem , or law , states that allele and genotype frequencies in a population will remain constant from generation to generation in the absence of other evolutionary influences",,
bruce lee hall of mirrors enter the dragon,Enter the Dragon,Enter the Dragon Traditional Chinese 龍爭虎鬥 Simplified Chinese 龙争虎斗 show Transcriptions Standard Mandarin Yale Romanization Lóng Zhēng Hǔ Dòu IPA ( lʊ̌ŋ ʈʂə́ŋ xù tôu ) Yue : Cantonese Yale Romanization Lùhng Jāng Fú Dau IPA Cantonese pronunciation : ( lʊ̏ŋ tsɐ́ŋ fǔː tɐ̄u ) Enter the Dragon Theatrical release poster Traditional 龍爭虎鬥 Simplified 龙争虎斗 Mandarin Lóng Zhēng Hǔ Dòu Cantonese Lung Zang Fu Dau Directed by Robert Clouse Produced by Fred Weintraub Paul Heller Raymond Chow Written by Michael Allin Starring Bruce Lee John Saxon Ahna Capri Bob Wall Shih Kien Jim Kelly Music by Lalo Schifrin Cinematography Gilbert Hubbs Edited by Kurt Hirschler George Watters Production company Warner Bros,,
who spread the theory that one is a product of the mind and body,Philosophy of mind,"In Western Philosophy , the earliest discussions of dualist ideas are in the writings of Plato who maintained that humans ' `` intelligence '' ( a faculty of the mind or soul ) could not be identified with , or explained in terms of , their physical body . However , the best - known version of dualism is due to René Descartes ( 1641 ) , and holds that the mind is a non-extended , non-physical substance , a `` res cogitans '' . Descartes was the first to clearly identify the mind with consciousness and self - awareness , and to distinguish this from the brain , which was the seat of intelligence . He was therefore the first to formulate the mind -- body problem in the form in which it still exists today .",,
the study of the physical properties of sounds is,Phonetics,"It is concerned with the physical properties of speech sounds or signs ( phones ) : their physiological production , acoustic properties , auditory perception , and neurophysiological status",,
how many goals scored ronaldo in his career,Cristiano Ronaldo,"Cristiano Ronaldo dos Santos Aveiro GOIH ComM ( European Portuguese : ( kɾiʃˈtjɐnu ʁoˈnaɫdu ) ; born 5 February 1985 ) is a Portuguese professional footballer who plays as a forward for Italian club Juventus and the Portugal national team . Often considered the best player in the world and regarded by many as one of the greatest players of all time , Ronaldo has a record - tying five Ballon d'Or awards , the most for a European player , and is the first player to win four European Golden Shoes . He has won 26 trophies in his career , including five league titles , five UEFA Champions League titles and one UEFA European Championship . A prolific goalscorer , Ronaldo holds the records for most official goals scored in Europe 's top - five leagues ( 395 ) , the UEFA Champions League ( 120 ) , the UEFA European Championship ( 9 ) , as well as those for most assists in the UEFA Champions League ( 34 ) and the UEFA European Championship ( 6 ) . He has scored over 670 senior career goals for ",,
how many district in punjab and also write its name,"Punjab, India","Many modern day cities in Indian Punjab and Pakistani Punjab are still named from that period like Lahore , Jalandhar , Chandigarh and so on",,
what is the champions league quarter final draw,2017–18 UEFA Champions League knockout phase,"Each tie in the knockout phase , apart from the final , is played over two legs , with each team playing one leg at home . The team that scores more goals on aggregate over the two legs advance to the next round . If the aggregate score is level , the away goals rule is applied , i.e. the team that scored more goals away from home over the two legs advances . If away goals are also equal , then thirty minutes of extra time is played . The away goals rule is again applied after extra time , i.e. if there are goals scored during extra time and the aggregate score is still level , the visiting team advances by virtue of more away goals scored . If no goals are scored during extra time , the tie is decided by penalty shoot - out . In the final , which is played as a single match , if scores are level at the end of normal time , extra time is played , followed by penalty shoot - out if scores remain tied .",,
how long has house of payne been on tv,Tyler Perry's House of Payne,"Tyler Perry 's House of Payne is an American sitcom television series created and produced by playwright , director , and producer Tyler Perry . The show revolved around a multi-generational family living under one roof in Atlanta led by patriarch Curtis Payne and his wife Ella . The show premiered in syndication on June 21 , 2006 , and new episodes of a retooled version were broadcast exclusively on TBS from June 6 , 2007 , until August 10 , 2012 . While primarily a comedy sitcom , House of Payne was known for featuring dark themes and subject matter , such as substance abuse and addiction . It also had elements of slapstick . The storyline of the show is serialized , with many references to past episodes , creating a continuing story arc .",,
fools rush in where ghosts fear to tread,Fools rush in where angels fear to tread,"Fools rush in where angels fear to tread - wikipedia Fools rush in where angels fear to tread Jump to : navigation , search This article needs additional citations for verification",,
erupted on august 3 1965 as the result of a routine arrest of a drunk driver,1992 Los Angeles riots,"That day , 6,345 people were arrested and 44 dead bodies were still being identified by the coroner using fingerprints , driver 's license , or dental records",,
who is the missing grim reaper in black,Black (TV series),"Eventually , he discovers her ability of premonition and tries to save lives using her gift , but is himself killed in a mysterious hostage situation Meanwhile , Black is having issues training a new partner in the grim reaper work , and eventually is forced to find him when he goes missing",,
who played tess on touched by an angel,Della Reese,"Delloreese Patricia Early ( July 6 , 1931 -- November 19 , 2017 ) , known professionally as Della Reese , was an American jazz and gospel singer , actress , and ordained minister whose career spanned seven decades . Reese 's long career began as a singer , scoring a hit with her 1959 single `` Do n't You Know ? '' . In the late -- 1960s , Reese hosted her own talk show , Della , which ran for 197 episodes . She also starred in films beginning in 1975 , including playing opposite Redd Foxx in Harlem Nights ( 1989 ) , Martin Lawrence in A Thin Line Between Love and Hate ( 1996 ) and Elliott Gould in Expecting Mary ( 2010 ) . She achieved continuing success in the television religious supernatural drama Touched by an Angel ( 1994 -- 2003 ) , in which Reese played the leading role of Tess .",,
the axis powers were routed to north africa sicily and,Mediterranean and Middle East theatre of World War II,"Mediterranean and Middle East theatre of World War II - wikipedia Mediterranean and Middle East theatre of World War II Jump to : navigation , search Mediterranean and Middle East Theatre Part of the Second World War A map showing the territories held by Allied ( green ) , Axis ( orange ) , and neutral ( grey ) powers at the outbreak of hostilities in the Mediterranean Date 10 June 1940 -- 25 May 1945 ( 4 years , 11 months , 2 weeks and 1 day ) Location Southern Europe , the Middle East , the Horn of Africa , North Africa 35 ° N 18 ° E ﻿ / ﻿ 35 ° N 18 ° E ﻿ / 35 ; 18 Coordinates : 35 ° N 18 ° E ﻿ / ﻿ 35 ° N 18 ° E ﻿ / 35 ; 18 Result Allied victory Territorial changes Fall of the Italian Empire Belligerents Allies : United Kingdom Soviet Union ( 1941 -- 45 ) United States ( 1942 -- 45 ) India Free France Poland Australia Canada Greece ( 1940 -- 45 ) Yugoslavia ( 1941 -- 43 ) Yugoslavia ( 1943 -- 45 ) New Zealand South Africa Brazil ( 1942 -- 45 ) Italy ( 1943 -- 45 )",,
when did the hornets move to new orleans,New Orleans Pelicans,"The Pelicans were established as the New Orleans Hornets in the 2002 -- 03 season when then - owner of the Charlotte Hornets , George Shinn , relocated the franchise to New Orleans . Due to the damage caused by Hurricane Katrina in 2005 , the franchise temporarily relocated to Oklahoma City , where they spent two seasons officially known as the New Orleans / Oklahoma City Hornets . The team returned to New Orleans full - time for the 2007 -- 08 season . On January 24 , 2013 , the franchise announced it would rename itself the Pelicans , effective after the conclusion of the 2012 -- 13 season . The Charlotte Hornets name , history and records from 1988 to 2002 were returned to its original city to be used by the then -- Charlotte Bobcats franchise , which subsequently became the Charlotte Hornets , starting May 20 , 2014 .",,
how far is richmond va from newport news va,"Newport News, Virginia","In the 1880s , he oversaw extension of the C&O 's new Peninsula Subdivision , which extended from the Church Hill Tunnel in Richmond southeast down the peninsula through Williamsburg to Newport News , where the company developed coal piers on the harbor of Hampton Roads",,
elvis presley daddy don't you walk so fast,Daddy Don't You Walk So Fast,"Daddy Do n't You Walk So Fast - wikipedia Daddy Do n't You Walk So Fast Jump to : navigation , search `` Daddy Do n't You Walk So Fast '' Single by Wayne Newton from the album Daddy Do n't You Walk So Fast B - side `` Echo Valley 2 - 6809 '' ( U",,
what are the ingredients in kit kat bar,Kit Kat,"Kit Kat bars are produced in 16 countries by Nestlé : Brazil , Mexico , United Kingdom , Canada , Australia , New Zealand , South Africa , Germany , Russia , Japan , China , Malaysia , Thailand , India , Turkey , United Arab Emirates , Bulgaria and Algeria . Kit Kat bars in the United States are produced under licence by The Hershey Company , a Nestlé competitor , due to a prior licensing agreement with Rowntree . The year 2003 was a turning point for the Kit Kat bar as well as the confectionery industry in general . The popularity of low carb diets and the push to healthier eating stifled sales growth in many parts of the world . In addition , fierce competition from Cadbury 's newly formed Dairy Milk superbrand also contributed to sales of the Kit Kat decreasing considerably in its home market of the UK , and threatened to depose it from its No. 1 position . The solution adopted by Nestlé and others was to increase dramatically the number of new and unique variations of their confect",,
the first civil service commission in india was set up on the basis of recommendation of,Indian Civil Service (British India),"In 1922 , Indian candidates were permitted to sit the ICS examinations in Delhi ; in 1924 , the Lee Commission , chaired by Arthur Lee , 1st Viscount Lee of Fareham ( which eventually led to the foundation of the Federal Public Service Commission and Provincial Public Service Commission under the Government of India Act , 1935 ) made several recommendations : ICS officers should receive increased and more comprehensive levels of compensation , future batches of ICS officers should be composed of 40 % Europeans and 40 % Indians , with the remaining 20 % of appointments to be filled by direct promotion of Indians from the Provincial Civil Services ( PCS ) and the examinations in Delhi and London were to produce an equal number of ICS probationers",,
well back in 1876 an old boy named bell,Bell Witch,"The physical activity centered on the Bells ' youngest daughter , Betsy , and her father , and ' Kate ' expressed particular displeasure when Betsy became engaged to a local named Joshua Gardner",,
what is the capital of bulgaria on a map,Bulgaria,"Bulgaria ( / bʌlˈɡɛəriə , bʊl - / ( listen ) ; Bulgarian : България , tr . Bǎlgariya ) , officially the Republic of Bulgaria ( Bulgarian : Република България , tr . Republika Bǎlgariya , IPA : ( rɛˈpublikɐ bɐɫˈɡarijɐ ) ) , is a country in southeastern Europe . It is bordered by Romania to the north , Serbia and Macedonia to the west , Greece and Turkey to the south , and the Black Sea to the east . The capital and largest city is Sofia ; other major cities are Plovdiv , Varna and Burgas . With a territory of 110,994 square kilometres ( 42,855 sq mi ) , Bulgaria is Europe 's 16th - largest country .",,
